,0
1_f_classif,Hemoglobin (g/L)
3_f_classif,"Age Baseline, Hemoglobin (g/L), Prior Stroke (CVA) - How Recent (Not Known)"
5_f_classif,"Age Baseline, Number of Concomitant Medications, Hemoglobin (g/L), Prior Stroke (CVA) - How Recent (Not Known), CYP2C9*3 (wildtype)"
10_f_classif,"Age Baseline, Gender, Number of Concomitant Medications, Hemoglobin (g/L), Current Post-thrombotic Syndrome (No), Current Post-thrombotic Syndrome (Yes), Prior Stroke (CVA) - How Recent (Not Known), CYP2C9*3 (heterozygous mutant), CYP2C9*3 (homozygous mutant), CYP2C9*3 (wildtype)"
15_f_classif,"Age Baseline, Gender, Current Treatment for Hypertension, Number of Concomitant Medications, Statins, Height (cm), Creatinine (umol/L), Hemoglobin (g/L), Current Post-thrombotic Syndrome (No), Current Post-thrombotic Syndrome (Yes), Prior Stroke (CVA) - How Recent (Not Known), CYP2C9*2 (heterozygous mutant), CYP2C9*3 (heterozygous mutant), CYP2C9*3 (homozygous mutant), CYP2C9*3 (wildtype)"
20_f_classif,"Age Baseline, Gender, Current Treatment for Hypertension, Prior Stroke (CVA), Number of Concomitant Medications, SSRIs, Statins, Height (cm), Weight (Kg), Creatinine (umol/L), Hemoglobin (g/L), Diabetes Type (Type1), Current Post-thrombotic Syndrome (No), Current Post-thrombotic Syndrome (Yes), Prior Stroke (CVA) - How Recent (Not Known), CYP2C9*2 (heterozygous mutant), CYP2C9*2 (wildtype), CYP2C9*3 (heterozygous mutant), CYP2C9*3 (homozygous mutant), CYP2C9*3 (wildtype)"
1_mutual_info_classif,Prior Gastrointestinal Bleed - How Recent (1-5Years)
3_mutual_info_classif,"Race (Other Race), Number of Concomitant Medications, Current Post-thrombotic Syndrome (No)"
5_mutual_info_classif,"Age Baseline, Current Post-thrombotic Syndrome (No), Prior Gastrointestinal Bleed - How Recent (1-5Years), CYP2C9*2 (heterozygous mutant), CYP2C9*2 (homozygous mutant)"
10_mutual_info_classif,"Smoker, Current Treatment for Hypertension, DVT and PE, Recent provoked VTE (Hospitalization), Weight (Kg), INR - Not Done, Prior Gastrointestinal Bleed - How Recent (1-5Years), Prior Gastrointestinal Bleed - How Recent (<1Year), Type of oral anticoagulant for this study (Warfarin), CYP2C9*2 (wildtype)"
